WKT,name,description,id,province_id,alt_name,latitude,longitude
"POINT (108.98861 -7.57417 0.0)",KABUPATEN CILACAP,id: 3301
province_id: 33
alt_name: KABUPATEN SUKOHARJO
latitude: -7.68333
longitude: 110.83333,3311.0,33.0,KABUPATEN SUKOHARJO,-7.68333,110.83333
"POINT (111.0 -7.91667 0.0)",KABUPATEN WONOGIRI,id: 3312
province_id: 33
alt_name: KABUPATEN WONOGIRI
latitude: -7.91667
longitude: 111,3312.0,33.0,KABUPATEN WONOGIRI,-7.91667,111
"POINT (111.0625 -7.62806 0.0)",KABUPATEN KARANGANYAR,id: 3313
province_id: 33
alt_name: KABUPATEN KARANGANYAR
latitude: -7.62806
longitude: 111.0625,3313.0,33.0,KABUPATEN KARANGANYAR,-7.62806,111.0625
"POINT (110.935 -7.41278 0.0)",KABUPATEN SRAGEN,id: 3314
province_id: 33
alt_name: KABUPATEN SRAGEN
latitude: -7.41278
longitude: 110.935,3314.0,33.0,KABUPATEN SRAGEN,-7.41278,110.935
"POINT (110.91667 -7.11667 0.0)",KABUPATEN GROBOGAN,id: 3315
province_id: 33
alt_name: KABUPATEN GROBOGAN
latitude: -7.11667
longitude: 110.91667,3315.0,33.0,KABUPATEN GROBOGAN,-7.11667,110.91667
"POINT (111.38333 -7.06667 0.0)",KABUPATEN BLORA,id: 3316
province_id: 33
alt_name: KABUPATEN BLORA
latitude: -7.06667
longitude: 111.38333,3316.0,33.0,KABUPATEN BLORA,-7.06667,111.38333
"POINT (111.46667 -6.78333 0.0)",KABUPATEN REMBANG,id: 3317
province_id: 33
alt_name: KABUPATEN REMBANG
latitude: -6.78333
longitude: 111.46667,3317.0,33.0,KABUPATEN REMBANG,-6.78333,111.46667
"POINT (111.1 -6.76667 0.0)",KABUPATEN PATI,id: 3318
province_id: 33
alt_name: KABUPATEN PATI
latitude: -6.76667
longitude: 111.1,3318.0,33.0,KABUPATEN PATI,-6.76667,111.1
"POINT (110.86667 -6.8 0.0)",KABUPATEN KUDUS,id: 3319
province_id: 33
alt_name: KABUPATEN KUDUS
latitude: -6.8
longitude: 110.86667,3319.0,33.0,KABUPATEN KUDUS,-6.8,110.86667
"POINT (110.76667 -6.58333 0.0)",KABUPATEN JEPARA,id: 3320
province_id: 33
alt_name: KABUPATEN JEPARA
latitude: -6.58333
longitude: 110.76667,3320.0,33.0,KABUPATEN JEPARA,-6.58333,110.76667
"POINT (110.6122 -6.8993 0.0)",KABUPATEN DEMAK,id: 3321
province_id: 33
alt_name: KABUPATEN DEMAK
latitude: -6.8993
longitude: 110.6122,3321.0,33.0,KABUPATEN DEMAK,-6.8993,110.6122
"POINT (110.44139 -7.20667 0.0)",KABUPATEN SEMARANG,id: 3322
province_id: 33
alt_name: KABUPATEN SEMARANG
latitude: -7.20667
longitude: 110.44139,3322.0,33.0,KABUPATEN SEMARANG,-7.20667,110.44139
"POINT (110.11667 -7.25 0.0)",KABUPATEN TEMANGGUNG,id: 3323
province_id: 33
alt_name: KABUPATEN TEMANGGUNG
latitude: -7.25
longitude: 110.11667,3323.0,33.0,KABUPATEN TEMANGGUNG,-7.25,110.11667
"POINT (110.1685 -7.0256 0.0)",KABUPATEN KENDAL,id: 3324
province_id: 33
alt_name: KABUPATEN KENDAL
latitude: -7.0256
longitude: 110.1685,3324.0,33.0,KABUPATEN KENDAL,-7.0256,110.1685
"POINT (109.88333 -7.03333 0.0)",KABUPATEN BATANG,id: 3325
province_id: 33
alt_name: KABUPATEN BATANG
latitude: -7.03333
longitude: 109.88333,3325.0,33.0,KABUPATEN BATANG,-7.03333,109.88333
"POINT (109.624 -7.0319 0.0)",KABUPATEN PEKALONGAN,id: 3326
province_id: 33
alt_name: KABUPATEN PEKALONGAN
latitude: -7.0319
longitude: 109.624,3326.0,33.0,KABUPATEN PEKALONGAN,-7.0319,109.624
"POINT (109.4 -7.03333 0.0)",KABUPATEN PEMALANG,id: 3327
province_id: 33
alt_name: KABUPATEN PEMALANG
latitude: -7.03333
longitude: 109.4,3327.0,33.0,KABUPATEN PEMALANG,-7.03333,109.4
"POINT (109.16667 -7.03333 0.0)",KABUPATEN TEGAL,id: 3328
province_id: 33
alt_name: KABUPATEN TEGAL
latitude: -7.03333
longitude: 109.16667,3328.0,33.0,KABUPATEN TEGAL,-7.03333,109.16667
"POINT (108.9 -7.05 0.0)",KABUPATEN BREBES,id: 3329
province_id: 33
alt_name: KABUPATEN BREBES
latitude: -7.05
longitude: 108.9,3329.0,33.0,KABUPATEN BREBES,-7.05,108.9
"POINT (110.225 -7.5 0.0)",KOTA MAGELANG,id: 3371
province_id: 33
alt_name: KOTA MAGELANG
latitude: -7.5
longitude: 110.225,3371.0,33.0,KOTA MAGELANG,-7.5,110.225
"POINT (110.81667 -7.55 0.0)",KOTA SURAKARTA,id: 3372
province_id: 33
alt_name: KOTA SURAKARTA
latitude: -7.55
longitude: 110.81667,3372.0,33.0,KOTA SURAKARTA,-7.55,110.81667
"POINT (110.48333 -7.33278 0.0)",KOTA SALATIGA,id: 3373
province_id: 33
alt_name: KOTA SALATIGA
latitude: -7.33278
longitude: 110.48333,3373.0,33.0,KOTA SALATIGA,-7.33278,110.48333
"POINT (110.38333 -7.03333 0.0)",KOTA SEMARANG,id: 3374
province_id: 33
alt_name: KOTA SEMARANG
latitude: -7.03333
longitude: 110.38333,3374.0,33.0,KOTA SEMARANG,-7.03333,110.38333
"POINT (109.68333 -6.9 0.0)",KOTA PEKALONGAN,id: 3375
province_id: 33
alt_name: KOTA PEKALONGAN
latitude: -6.9
longitude: 109.68333,3375.0,33.0,KOTA PEKALONGAN,-6.9,109.68333
"POINT (109.1129 -6.8686 0.0)",KOTA TEGAL,id: 3376
province_id: 33
alt_name: KOTA TEGAL
latitude: -6.8686
longitude: 109.1129,3376.0,33.0,KOTA TEGAL,-6.8686,109.1129
